SITE,CONST,YR,DOY,MP1,MP2,MP5,CRMP1,CRMP2,CRMP5,CRGF,CRMW,CRIOD
AKBA,G,23,54,0.33,0.537,0.3947,130.198,45.7829,97.3453,187.358,103.806,147.724
AKBA,G,23,55,0.3258,0.5428,0.3834,118.428,44.2529,109.439,156.293,112.073,132.803
AKBA,G,23,56,0.3302,0.5334,0.3895,80.2737,36.1886,81.4207,114.965,102.592,84.7333
AKBA,G,23,57,0.3293,0.5343,0.3879,100.678,37.7699,102.723,141.95,116.602,107.296
AKBA,G,23,58,0.3215,0.5441,0.3904,157.705,45.5129,128.133,190.289,131.571,165.647
AKBA,G,23,59,0.3225,0.5309,0.3942,74.4281,35.4493,86.7922,100.774,106.425,75.9167
AKBA,G,23,60,0.3257,0.5365,0.3877,120.277,41.6982,107.016,168.919,92.261,132.029
AKBA,G,23,61,0.3208,0.5333,0.3925,123.989,40.1396,128.743,155.824,124.659,130.294
AKBA,G,23,62,0.3313,0.5373,0.3936,109.838,39.567,128,162.437,105.324,130.316
AKBA,G,23,63,0.3265,0.5335,0.3903,78.8368,34.012,111.38,95,97.0299,82.865
AKBA,G,23,64,0.3348,0.5426,0.3954,111.704,42.2855,105.633,153.407,107.028,123.715
AKBA,G,23,65,0.3255,0.5392,0.3944,111.539,41.034,109.902,152.166,114.313,119.052
AKBA,G,23,66,0.3312,0.5415,0.3957,93.6286,35.435,108.04,117.036,110.816,102.865
AKBA,G,23,67,0.3334,0.5403,0.4003,102.344,35.3994,112.533,119.401,109.167,110.216
AKBA,G,23,68,0.3287,0.5425,0.4022,91.4563,35.869,119.026,110.803,103.815,97.6568
AKBA,G,23,69,0.3318,0.5451,0.3971,79.0429,35.1145,99.3603,97.9292,111.216,82.5821
AKBA,G,23,70,0.3233,0.5464,0.3879,140.885,45.4286,100,187.846,103.183,143.647
AKBA,G,23,71,0.3298,0.5457,0.4,152.291,41.958,136.747,185.452,111.631,165.439
AKBA,G,23,72,0.3272,0.5369,0.3955,71.478,32.6345,76.2701,100.132,97.1368,73.5599
AKBA,G,23,73,0.3285,0.5381,0.4002,149.824,38.0765,110.262,208.391,99.6652,168.551
AKBA,G,23,74,0.323,0.5429,0.3935,149.935,40.1702,98.2409,208.545,104.749,159.306
AKBA,G,23,75,0.3309,0.54,0.3986,61.0726,29.526,70.5132,90.5139,89.7984,63.8174
AKBA,G,23,76,0.3356,0.5395,0.3993,115.868,38.6876,105.512,198.487,85.1716,140.901
AKBA,G,23,77,0.3312,0.5437,0.3971,141.416,38.5559,117.158,201.487,92.9306,151.787
AKBA,G,23,78,0.3255,0.5411,0.3975,117.974,37.1503,98.3824,182.152,100.304,132.378
AKBA,G,23,79,0.3359,0.5617,0.4069,151.427,36.5362,149.82,195.81,105.157,155.575
AKBA,G,23,80,0.3339,0.5559,0.4001,100.132,34.871,92.9371,136.928,89.8419,112.525
AKBA,G,23,81,0.33,0.558,0.3985,129.903,37.782,97.3358,179,98.4113,142.081
AKBA,G,23,82,0.3288,0.5461,0.3934,116.723,37.4646,109.287,168.6,97.6867,127.871
AKBA,G,23,83,0.3226,0.5582,0.3945,168.437,41.9262,128.115,264.407,107.768,191.084
AKBA,G,23,84,0.3319,0.5346,0.3887,104.417,35.0694,96.036,142.269,87.55,112.688
AKBA,G,23,85,0.3255,0.5305,0.3905,76.6014,34.8415,99.1194,99.8855,99.4474,80.1201
AKBA,G,23,86,0.323,0.5201,0.3945,56.3734,33.1372,85.2129,86.1801,82.0912,64.0826
AKBA,G,23,87,0.3218,0.527,0.3903,102.741,41.9219,98.8657,156.965,115.321,119.593
AKBA,G,23,88,0.3226,0.5228,0.3864,81.7798,36.0734,96.1957,101.129,97.2232,84.8427
AKBA,G,23,89,0.3273,0.531,0.3901,124.197,40.6111,108.545,162.343,104.737,130.621
AKBA,G,23,90,0.3272,0.5308,0.3921,102.457,39.2222,110.8,146.084,98.0216,106.305
